,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Dodge & Cox,Investment management,NONE,"$875,934",$0,"$875,934"
11,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Jennison Associates LLC,Investment management,NONE,"$872,080",$0,"$872,080"
12,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,T. Rowe Price Trust Company,"Investment management, Trustee (discretionary), Direct payment from the plan",NONE,"$749,445",$0,"$749,445"
13,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Aronson Johnson Otiz Lp,Investment management,NONE,"$721,465",$0,"$721,465"
14,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Jpmorgan Investment Management Inc,"Investment advisory (plan), Investment management",NONE,"$668,719",$0,"$668,719"
15,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Alliancebernstein Lp,Investment management,NONE,"$607,924",$0,"$607,924"
16,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Hood River Capital Management,"Investment management, Soft dollars commissions",NONE,"$602,526",$0,"$602,526"
17,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Lsv Asset Management,Investment management,NONE,"$587,074",$0,"$587,074"
18,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Aetna Inc,Employee (plan sponsor),Employer,"$551,582",$0,"$551,582"
19,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,"Redwood Investments, LLC","Investment management, Soft dollars commissions",NONE,"$482,699",$0,"$482,699"
20,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Russell Implementation Services Inc,"Investment management, Securities brokerage commissions and fees",NONE,"$350,139",$0,"$350,139"
21,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,"Nebrodi Partners, LLC",Investment advisory (plan),NONE,"$335,800",$0,"$335,800"
22,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Voya Investment Management Co. LLC,Investment management,NONE,"$324,449",$0,"$324,449"
23,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Invesco Advisers Inc.,Investment management,NONE,"$273,229",$0,"$273,229"
24,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Ares Management Limited,Investment management,NONE,"$219,687",$0,"$219,687"
25,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Russell Investments Capital LLC,Consulting (pension),NONE,"$193,669",$0,"$193,669"
26,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Aon Consulting LLC,"Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$148,485",$0,"$148,485"
27,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,KPMG LLP,Accounting (including auditing),NONE,"$110,500",$0,"$110,500"
28,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Bnymellon Analytical Services LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$87,187",$0,"$87,187"
29,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Evestment Alliance LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$41,346",$0,"$41,346"
30,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Statestreet Global Advisor Trust Co,"Investment management, Custodial (securities)",NONE,"$25,015",$0,"$25,015"
31,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Jpmorgan Chase Bank Na,"Trustee (bank, trust company, or similar financial institution), Custodial (securities), Float revenue",Trustee,$0,$0,$0
32,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Total,Total,Total,"$23,883,584",$0,"$23,883,584"
