,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Morgan Stanley Real Estate Advisor,",Investment management fees paid directly by plan,Inv Mgr,"$361,548",$0,"$361,548"
11,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Mellon Capital,Investment management fees paid directly by plan,Inv Mgr,"$340,535",$0,"$340,535"
12,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Victory Capital Management, Inc.","Investment management fees paid directly by plan, Soft dollars commissions",Inv Mgr,"$312,087","$21,213","$333,300"
13,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Aon Consulting Inc,Actuarial,Actuarial,"$326,044",$0,"$326,044"
14,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Artisan Partners Limited Partnershi,Investment management fees paid directly by plan,Inv Mgr,"$265,112","$3,685","$268,797"
15,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Jp Morgan Chase Bank,"Trustee (bank, trust company, or similar financial institution)",Trustee,"$251,741",$0,"$251,741"
16,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Blackrock Financial Management Inc,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Inv Mgr,"$131,581",$0,"$131,581"
17,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Pension Benefit Information,Participant communication,Part Comm,"$113,799",$0,"$113,799"
18,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,State Street Global Advisor Trust C,Investment management fees paid directly by plan,Inv Mgr,"$108,647",$0,"$108,647"
19,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Rocaton Investment Advisors,Consulting (pension),Consultant,"$79,710",$0,"$79,710"
20,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Clark , Schaefer Hackett",Accounting (including auditing),Auditors,"$37,500",$0,"$37,500"
21,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,United States Postal Service,Participant communication,Part Comm,"$30,075",$0,"$30,075"
22,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Classical Marketing, LLC",Participant communication,Part Comm,"$11,092",$0,"$11,092"
23,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Onetouchpoint East Corp,Participant communication,Part Comm,"$8,468",$0,"$8,468"
24,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Total,Total,Total,"$11,969,021","$807,292","$12,776,313"
