,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Callan,Other fees,NONE,"$121,594",$0,"$121,594"
11,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Pillsbury Winthrop Shaw Pittman LLP,Legal,NONE,"$73,963",$0,"$73,963"
12,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Jp Morgan Securities Inc,Securities brokerage,NONE,"$54,501",$0,"$54,501"
13,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Liquidnet Inc,Securities brokerage,NONE,"$52,831",$0,"$52,831"
14,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Lynchval Systems,Securities brokerage,NONE,"$30,900",$0,"$30,900"
15,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Parametric Portfolio Associate,Investment management fees paid directly by plan,NONE,"$27,278",$0,"$27,278"
16,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Merrill Lynch Intl,Contract Administrator,NONE,"$25,297",$0,"$25,297"
17,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,"Baird, Robert W & Co Inc",Securities brokerage,NONE,"$24,297",$0,"$24,297"
18,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Investment Technology Group,Securities brokerage,NONE,"$21,213",$0,"$21,213"
19,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Credit Suisse,Securities brokerage,NONE,"$20,625",$0,"$20,625"
20,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Bernstein Sanford C & Co Inc,Securities brokerage,NONE,"$20,464",$0,"$20,464"
21,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Instinet Corp,Securities brokerage,NONE,"$20,338",$0,"$20,338"
22,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Morgan Stanley & Co Inc,Securities brokerage,NONE,"$20,008",$0,"$20,008"
23,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Citigroup Gbl Mkts Inc,Securities brokerage,NONE,"$10,918",$0,"$10,918"
24,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Pershing LLC,Securities brokerage,NONE,"$10,875",$0,"$10,875"
25,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Raymond James & Assoc Inc,Securities brokerage,NONE,"$10,075",$0,"$10,075"
26,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Keybanc Capital Markets Inc,Securities brokerage,NONE,"$9,752",$0,"$9,752"
27,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Curcio Webb LLC,Other fees,NONE,"$8,000",$0,"$8,000"
28,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Goldman Sachs & Co,Securities brokerage,NONE,"$7,950",$0,"$7,950"
29,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Barclays Capital Inc,Securities brokerage,NONE,"$7,281",$0,"$7,281"
30,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Keefe Bruyette and Woods,Securities brokerage,NONE,"$6,530",$0,"$6,530"
31,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Suntrust Capital Markets Inc,Securities brokerage,NONE,"$6,345",$0,"$6,345"
32,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Ubs Securities LLC,Securities brokerage,NONE,"$5,823",$0,"$5,823"
33,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Stifel Nicolaus,Securities brokerage,NONE,"$5,358",$0,"$5,358"
34,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Isi Group Inc,Securities brokerage,NONE,"$5,355",$0,"$5,355"
35,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,William Blair & Co,Securities brokerage,NONE,"$5,281",$0,"$5,281"
36,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Needham and Co LLC,Securities brokerage,NONE,"$5,215",$0,"$5,215"
37,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Deutsche Bk Secs Inc,Securities brokerage,NONE,"$5,210",$0,"$5,210"
38,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Jefferies & Co Inc,Securities brokerage,NONE,"$5,144",$0,"$5,144"
39,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Total,Total,Total,"$8,541,618",$0,"$8,541,618"
