,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 06/30/2017,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 07/01/2016,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,"Sands Capital Management, LLC",Investment management,Investment Manager,"$443,466",$0,"$443,466"
11,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Parker Hannifin Corporation,Employee (plan),Pension Administration,"$406,143",$0,"$406,143"
12,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Pzena,Investment management,Investment Manager,"$375,036",$0,"$375,036"
13,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,New England Pension Consultants,Investment advisory (plan),Investment Advisor,"$290,000",$0,"$290,000"
14,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,"Hexavest, Inc","Investment management, Foreign entity (...)",Investment Manager,"$271,101",$0,"$271,101"
15,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,"William Blair & Company, LLC.",Investment management,Investment Manager,"$235,389",$0,"$235,389"
16,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Cramer Rosenthal Mcglynn,Investment management,Investment Manager,"$206,570",$0,"$206,570"
17,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,"Blackrock Inst'L Trust Co, N.A.",Investment management,Investment Manager,"$182,760",$0,"$182,760"
18,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Times Square,Investment management,Investment Manager,"$161,831",$0,"$161,831"
19,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Aon Hewitt,Accounting (including auditing),Actuary,"$119,881",$0,"$119,881"
20,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Baker and Hostellar,Legal,Legal Counsel,"$74,514",$0,"$74,514"
21,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Rsm Us LLP,Accounting (including auditing),Audit,"$26,250",$0,"$26,250"
22,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Total Marketing Resources,Copying and duplicating,Printing & Mailing,"$9,339",$0,"$9,339"
23,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Total,Total,Total,"$9,984,312",$0,"$9,984,312"
