,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Frontier Capital,Other fees,NONE,$0,"$604,904","$604,904"
11,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Natixis Investment Managers, L.P.","Direct payment from the plan, Other fees",NONE,"$591,489",$0,"$591,489"
12,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Verus Advisory, Inc.","Consulting (pension), Investment advisory (plan), Direct payment from the plan",NONE,"$530,000",$0,"$530,000"
13,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Trust Company of The West,"Investment management, Direct payment from the plan",NONE,"$345,622",$0,"$345,622"
14,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Bny Mellon,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Custodial (other than securities), Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Sub-transfer agency fees, Recordkeeping fees",NONE,"$197,257",$0,"$197,257"
15,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Bay Hills' Bhcp Iii, Lp","Investment management, Direct payment from the plan",NONE,"$112,500",$0,"$112,500"
16,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Emg Fund III Management, Lp",Finders' fees/placement fees,NONE,$0,"$59,508","$59,508"
17,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,State Street Bank and Trust,"Investment management, Direct payment from the plan",NONE,"$41,942",$0,"$41,942"
18,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Deloitte & Touche LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$12,220",$0,"$12,220"
19,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Lincoln International LLC,"Valuation (appraisals, etc.), Direct payment from the plan",NONE,"$10,819",$0,"$10,819"
20,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Abel Noser LLC,"Direct payment from the plan, Securities brokerage commissions and fees",NONE,$0,"$9,279","$9,279"
21,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Millennium International Ltd,"Investment management fees paid indirectly by plan, Securities brokerage commissions and fees, Other fees",NONE,$0,$0,$0
22,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Total,Total,Total,"$22,419,906","$673,691","$23,093,597"
