,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Wellington Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$220,816",$0,"$220,816"
11,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Mellon Investments Corporation,"Investment management, Direct payment from the plan",NONE,"$165,759",$0,"$165,759"
12,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Legal and General,"Investment management, Direct payment from the plan",NONE,"$164,629",$0,"$164,629"
13,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Eagle Asset Management Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$139,596",$0,"$139,596"
14,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Bkd LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$136,601",$0,"$136,601"
15,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,"Jh Trust Co, LLC","Investment advisory (plan), Direct payment from the plan",NONE,"$116,574",$0,"$116,574"
16,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Aetna Life Insurance Company,"Insurance services, Direct payment from the plan",NONE,"$108,430",$0,"$108,430"
17,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Baring International Inv. Ltd,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$69,818",$0,"$69,818"
18,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,"Walter Scott & Partners, Ltd","Investment management, Direct payment from the plan",NONE,"$66,677",$0,"$66,677"
19,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,"Sanderson Asset Management, LLP","Investment management, Direct payment from the plan",NONE,"$54,110",$0,"$54,110"
20,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Mfs Institutional Advisors,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$53,791",$0,"$53,791"
21,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Blackrock,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$51,749",$0,"$51,749"
22,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Fidelity Institutional Asset Mgn,"Custodial (securities), Investment management, Direct payment from the plan",NONE,"$47,315",$0,"$47,315"
23,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,State Street Research & Mgn Co,"Investment management, Direct payment from the plan",NONE,"$40,862",$0,"$40,862"
24,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$27,755",$0,"$27,755"
25,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Willis Towers Watson,"Actuarial, Direct payment from the plan",NONE,"$25,510",$0,"$25,510"
26,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Marathon,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$18,579",$0,"$18,579"
27,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Simplyconnect,"Consulting (general), Direct payment from the plan",NONE,"$16,211",$0,"$16,211"
28,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Deloitte Tax LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$5,500",$0,"$5,500"
29,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Massachusetts Mutual Life Ins. Co.,"Contract Administrator, Investment management fees paid indirectly by plan, Soft dollars commissions, Other investment fees and expenses",NONE,"$4,956",$0,"$4,956"
30,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Total,Total,Total,"$6,464,548",$0,"$6,464,548"
