,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
10,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Bloomberg,"Consulting (general), Direct payment from the plan",NONE,"$38,698",$0,"$38,698"
11,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Rock Creek Group,"Consulting (general), Direct payment from the plan",NONE,"$31,160",$0,"$31,160"
12,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Conduent Hr Services LLC,"Consulting (general), Copying and duplicating, Direct payment from the plan",NONE,"$30,705",$0,"$30,705"
13,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,D. Brennan Riley,"Legal, Direct payment from the plan",NONE,"$29,071",$0,"$29,071"
14,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Rcp Solutions,"Consulting (general), Direct payment from the plan",NONE,"$28,917",$0,"$28,917"
15,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Resource Global Professionals (Rgp),"Consulting (general), Direct payment from the plan",NONE,"$26,672",$0,"$26,672"
16,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,AYCO,"Consulting (pension), Direct payment from the plan",NONE,"$18,545",$0,"$18,545"
17,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,London Stock Exchange,"Foreign entity (...), Other services, Direct payment from the plan",NONE,"$17,525",$0,"$17,525"
18,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Data Bank Imx,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$17,410",$0,"$17,410"
19,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,K&L Gates,"Legal, Direct payment from the plan",NONE,"$15,353",$0,"$15,353"
20,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Evestment Alliance,"Consulting (general), Direct payment from the plan",NONE,"$6,047",$0,"$6,047"
21,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Deutsche Bank,"Other services, Direct payment from the plan",NONE,"$6,000",$0,"$6,000"
22,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Total,Total,Total,"$10,417,164",$0,"$10,417,164"
